P	1	-	-	Harry Kneen	Mercedes AMG GT3		17:32.01	129.11 mph
P	2	-	-	Matt Steele	Mercedes AMG GT3		17:34.04	128.86 mph
P	3	-	-	Mark Higgins (2016)	Subaru WRX Sti		17:35.12	128.73 mph
P	4	-	-	Tom Boman	Mercedes AMG GT3		17:37.44	128.45 mph
P	5	-	-	Harry Kneen	Mercedes AMG GT3		17:42.41	127.85 mph
